Unnamed: 0,station,sample number,longitude (° E),latitude (°N),Cr(mg/kg),Cu(mg/kg),Zn(mg/kg),As(mg/kg),Cd(mg/kg),Pb(mg/kg),Hg(mg/kg),Ni(mg/kg),Al2O3 (%),clay (%),silt (%),sand (%),"mean grain size(Mz, Φ)",water depth (m)
25.0,26,BC028,118.68,38.93,101.066,42.123,110.395,12.196,0.416,30.923,0.154,49.3,12.83,29.3,70.7,0.0,7.2,29.39
26.0,27,BC029,118.72,38.93,95.033,43.587,111.988,14.453,0.358,33.3,0.177,44.6,13.0,29.04,70.87,0.09,7.12,33.11
27.0,28,BC030,118.77,38.93,38.176,14.721,42.272,9.942,0.096,20.938,0.142,16.6,10.49,11.42,25.12,63.46,3.88,28.04
28.0,29,BC031,118.8,38.93,49.848,17.477,50.978,13.177,0.155,24.078,0.155,21.0,11.34,12.83,27.5,59.68,4.0,27.1
29.0,30,BC032,118.26,38.91,113.647,42.592,115.853,14.676,0.206,33.087,0.13,49.6,13.37,34.78,65.22,0.0,7.48,19.14
30.0,31,BC033,118.31,38.91,112.952,39.679,103.989,13.523,0.183,28.814,0.186,45.9,12.86,33.66,66.35,0.0,7.4,20.32
31.0,32,BC034,118.36,38.91,130.673,45.353,121.832,14.483,0.192,32.657,0.104,51.9,12.88,28.94,70.94,0.12,7.1,19.6
32.0,33,BC035,118.42,38.91,114.537,40.098,109.533,15.197,0.2,30.997,0.028,47.3,13.06,28.07,70.16,1.77,7.06,21.43
33.0,34,BC036,118.8,38.91,32.365,13.807,40.189,11.114,0.123,21.876,0.058,15.4,10.33,9.08,19.15,71.77,3.49,24.1
34.0,35,BC037,118.83,38.91,75.358,16.05,47.626,9.196,0.138,20.325,0.153,19.1,11.22,8.06,17.89,74.05,3.44,25.47
35.0,36,BC038,118.85,38.91,84.224,14.199,45.504,7.686,0.159,20.658,0.064,16.3,10.46,10.23,21.69,68.08,3.64,26.3
36.0,37,BC039,118.87,38.91,52.239,12.043,37.534,6.903,0.133,17.661,0.161,15.7,9.97,9.49,20.44,70.07,3.62,24.06
37.0,38,BC040,118.9,38.91,17.225,7.166,22.847,13.56,0.06,21.821,0.102,10.4,6.25,5.01,15.24,79.75,2.99,22.1
38.0,39,BC041,118.92,38.91,18.602,7.223,24.475,11.264,0.041,16.727,0.199,13.8,7.12,8.35,17.27,74.38,3.43,22.53
39.0,40,BC042,118.94,38.91,44.044,16.185,46.873,10.055,0.149,23.959,0.014,17.7,10.57,7.02,15.25,77.73,3.29,23.1
40.0,41,BC043,118.97,38.91,25.445,14.168,36.514,12.203,0.113,19.421,0.177,15.4,10.12,8.5,19.75,71.75,3.44,23.2
41.0,42,BC044,118.99,38.91,45.023,16.372,48.401,8.199,0.16,24.948,0.17,18.3,11.18,9.67,21.55,68.78,3.69,23.9
42.0,43,BC045,118.47,38.89,115.035,38.938,105.251,15.312,0.221,29.418,0.188,44.4,12.78,28.58,70.48,0.94,7.03,15.54
43.0,44,BC046,118.52,38.89,110.75,43.406,113.775,15.308,0.226,31.082,0.165,46.3,13.34,19.91,79.05,1.04,6.5,36.04
44.0,45,BC047,118.56,38.89,74.793,24.621,66.554,9.618,0.224,24.714,0.093,27.1,12.17,29.54,69.63,0.83,7.12,31.15
45.0,46,BC048,118.63,38.89,94.024,22.909,59.675,12.792,0.176,23.546,0.074,24.4,11.47,18.65,38.93,42.42,5.2,29.22
46.0,47,BC049,118.68,38.89,47.342,15.673,44.728,13.153,0.159,23.622,0.171,18.4,11.29,9.01,18.51,72.48,3.49,25.99
47.0,48,BC050,118.72,38.89,62.564,24.481,64.715,20.416,0.212,32.713,0.139,25.1,11.14,7.93,17.09,74.99,3.41,28.1
48.0,49,BC051,118.77,38.89,49.436,18.306,49.056,14.22,0.141,25.679,0.138,21.3,11.13,16.27,33.22,50.51,4.45,27.8
49.0,50,BC052,118.8,38.89,45.653,18.54,49.635,11.911,0.142,23.314,0.111,20.8,10.03,8.99,19.45,71.57,3.58,26.8
50.0,51,BC053,118.85,38.89,81.061,16.708,48.471,10.052,0.13,21.548,0.171,20.3,10.98,5.48,11.79,82.73,2.92,24.92
51.0,52,BC054,118.9,38.89,62.231,24.554,63.204,11.488,0.154,24.801,0.183,58.9,11.96,11.04,24.75,64.21,3.89,26.3
52.0,53,BC055,118.99,38.89,87.743,25.013,67.421,14.968,0.168,30.8,0.164,26.9,11.73,27.23,62.19,10.59,6.83,28.5
53.0,54,BC056,118.26,38.87,110.842,39.663,111.185,16.114,0.214,31.585,0.097,47.6,12.75,33.24,66.76,0.0,7.36,24.99
54.0,55,BC057,118.31,38.87,119.507,43.548,118.568,16.099,0.249,33.928,0.17,49.8,12.98,39.77,60.23,0.0,7.71,25.76
55.0,56,BC058,118.36,38.87,116.356,42.217,113.427,16.58,0.262,31.622,0.188,49.4,12.93,9.09,17.83,73.08,3.49,25.91
56.0,57,BC059,118.42,38.87,78.37,30.567,81.31,21.973,0.275,32.211,0.112,34.7,11.36,8.09,18.11,73.8,3.42,29.46
57.0,58,BC060,118.8,38.87,45.385,18.747,53.578,15.316,0.186,27.383,0.091,22.2,11.3,13.0,26.79,60.21,3.87,24.9
58.0,59,BC061,118.83,38.87,28.092,10.78,34.562,9.911,0.092,18.881,0.121,14.0,10.29,8.09,18.11,73.8,3.42,25.12
59.0,60,BC062,118.85,38.87,50.671,18.595,52.653,10.021,0.207,24.461,0.105,21.8,10.88,13.0,26.79,60.21,3.87,25.9
60.0,61,BC063,118.87,38.87,15.653,7.172,21.979,8.35,0.064,15.901,0.097,10.3,7.19,0.52,0.87,98.61,1.46,22.15
61.0,62,BC064,118.9,38.87,72.494,24.927,68.802,16.876,0.205,35.312,0.068,26.8,11.47,13.49,30.54,55.97,4.22,27.5
62.0,63,BC065,118.92,38.87,62.231,25.236,72.037,12.255,0.202,27.591,0.186,29.4,11.8,13.03,29.69,57.28,4.22,28.5
63.0,64,BC066,118.94,38.87,74.514,26.177,73.846,10.966,0.282,32.32,0.151,29.9,12.11,15.11,33.4,51.48,4.43,28.1
64.0,65,BC067,118.96,38.87,37.27,15.654,46.121,6.7,0.141,20.839,0.184,17.8,11.14,10.08,22.61,67.31,3.68,27.4
65.0,66,BC068,118.99,38.87,57.04,24.173,61.26,22.359,0.234,32.167,0.118,24.4,11.31,10.96,23.78,65.27,3.76,26.7
66.0,67,BC069,118.47,38.86,64.914,22.084,60.361,15.135,0.187,22.501,0.118,27.2,10.59,10.6,42.81,46.59,4.64,27.49
67.0,68,BC070,118.52,38.86,98.913,28.115,77.172,19.422,0.202,31.469,0.086,35.1,11.86,8.9,20.47,70.63,3.56,31.3
68.0,69,BC071,118.56,38.86,45.931,16.326,46.711,9.654,0.166,23.3,0.12,18.8,11.47,14.15,27.26,58.59,4.11,33.53
69.0,70,BC072,118.63,38.86,76.741,25.883,75.924,13.07,0.218,27.949,0.178,30.3,11.89,11.83,26.67,61.51,3.98,33.15
70.0,71,BC073,118.68,38.86,50.411,17.464,50.231,7.749,0.202,23.33,0.163,21.1,11.63,12.71,25.99,61.31,4.07,32.98
71.0,72,BC074,118.72,38.86,47.763,16.833,46.839,8.151,0.185,22.863,0.127,18.9,11.67,12.78,28.21,59.02,4.07,31.46
72.0,73,BC075,118.79,38.86,51.225,18.841,51.409,13.624,0.143,24.969,0.189,21.8,11.06,11.61,26.92,61.47,3.96,29.15
73.0,74,BC076,118.84,38.86,46.208,19.511,50.661,13.368,0.191,21.15,0.172,22.2,10.13,8.61,19.48,71.91,3.51,26.72
74.0,75,BC077,118.88,38.86,57.221,18.479,53.541,12.904,0.155,24.035,0.147,23.5,11.1,11.45,25.17,63.38,3.9,26.07
75.0,76,BC078,118.93,38.85,53.132,19.973,58.681,9.891,0.15,23.069,0.175,25.4,11.63,11.93,26.92,61.15,3.98,28.29
76.0,77,BC079,118.98,38.85,49.905,18.148,54.816,10.663,0.157,23.59,0.192,23.5,11.14,9.28,23.4,67.33,3.67,27.07
77.0,78,BC080,118.26,38.84,77.798,28.247,82.323,10.789,0.244,28.055,0.162,33.3,12.18,34.62,65.39,0.0,7.47,27.74
78.0,79,BC081,118.31,38.84,109.548,39.841,104.755,17.942,0.26,30.433,0.022,47.0,12.74,18.65,54.68,26.67,5.48,29.31
79.0,80,BC082,118.36,38.84,71.086,26.937,73.837,23.877,0.203,30.575,0.052,36.0,11.01,37.06,62.94,0.0,7.61,25.45
80.0,81,BC083,118.42,38.84,92.625,32.067,83.502,14.301,0.315,25.982,0.168,39.6,10.72,16.69,67.7,15.61,5.91,27.93
81.0,82,BC084,118.29,38.82,94.203,35.89,95.05,22.012,0.293,29.843,0.199,41.4,11.75,22.05,75.54,2.41,6.71,27.24
82.0,83,BC085,118.33,38.82,89.081,27.58,76.628,20.969,0.233,29.98,0.158,32.9,11.64,20.28,57.83,21.89,5.72,27.84
83.0,84,BC086,118.38,38.82,83.4,27.2,75.435,17.484,0.266,27.145,0.154,32.6,11.38,24.32,57.26,18.43,6.22,29.06
84.0,85,BC087,118.47,38.82,135.129,46.462,120.701,21.692,0.313,34.1,0.098,55.3,12.52,51.11,48.89,0.0,8.23,29.68
85.0,86,BC088,118.52,38.82,72.035,27.293,70.266,23.058,0.233,32.417,0.052,30.1,11.5,13.8,31.19,55.01,4.2,30.07
86.0,87,BC089,118.56,38.82,87.721,30.397,82.959,14.724,0.198,26.796,0.122,35.5,12.2,21.32,48.98,29.7,5.73,30.43
87.0,88,BC090,118.63,38.82,95.391,33.574,77.399,22.71,0.255,30.482,0.032,36.4,11.04,20.36,56.38,23.26,5.84,29.25
88.0,89,BC091,118.68,38.82,58.913,28.141,62.059,14.847,0.213,27.684,0.07,29.9,11.56,13.43,36.62,49.95,4.46,30.06
89.0,90,BC092,118.72,38.82,99.475,33.127,91.886,15.816,0.183,27.989,0.03,37.6,12.32,24.24,52.36,23.41,6.04,31.8
90.0,91,BC093,118.79,38.82,64.062,27.047,70.589,9.48,0.156,21.953,0.148,42.1,12.23,31.69,68.24,0.07,7.32,32.45
91.0,92,BC094,118.84,38.82,94.409,41.591,103.068,12.649,0.177,26.686,0.156,48.1,12.54,17.13,38.96,43.92,5.14,33.08
92.0,93,BC095,118.88,38.82,90.891,30.459,80.552,11.083,0.258,29.635,0.124,32.9,12.13,15.32,34.7,49.98,4.55,30.8
93.0,94,BC096,118.93,38.82,47.11,16.871,49.834,7.354,0.128,19.615,0.146,20.1,11.15,9.59,22.31,68.1,3.71,28.88
94.0,95,BC097,118.98,38.82,55.552,20.062,58.808,8.436,0.126,23.016,0.119,25.8,11.52,14.43,34.03,51.55,4.4,28.49
95.0,96,BC098,118.26,38.8,114.807,41.234,115.045,14.539,0.362,34.298,0.174,48.5,12.46,29.36,70.64,0.0,7.21,26.97
96.0,97,BC099,118.31,38.8,116.47,44.579,115.776,18.547,0.324,32.318,0.149,50.1,12.77,30.39,69.61,0.0,7.26,28.57
97.0,98,BC100,118.35,38.8,117.981,45.874,118.234,15.918,0.35,33.064,0.105,51.8,12.87,28.64,70.73,0.64,7.13,29.12
98.0,99,BC101,118.29,38.78,109.096,41.167,106.538,17.323,0.283,31.819,0.132,47.4,12.51,31.34,68.66,0.0,7.32,26.15
99.0,100,BC102,118.33,38.78,135.1,44.436,122.152,15.912,0.373,34.452,0.117,51.7,12.67,32.41,67.59,0.0,7.38,27.47
100.0,101,BC103,118.38,38.78,117.185,43.535,115.901,16.787,0.356,32.376,0.128,50.0,12.43,37.12,62.88,0.0,7.57,28.64
101.0,102,BC104,118.42,38.78,110.078,40.972,106.762,20.444,0.318,30.024,0.048,48.2,12.42,36.21,63.79,0.0,7.55,27.92
102.0,103,BC105,118.47,38.78,135.537,48.735,126.584,20.632,0.32,34.882,0.143,57.5,12.54,32.11,67.89,0.0,7.37,28.01
103.0,104,BC106,118.52,38.78,124.922,45.136,125.208,25.446,0.317,33.517,0.095,53.7,12.39,32.19,67.81,0.0,7.35,28.67
104.0,105,BC107,118.56,38.78,111.184,40.182,105.001,15.557,0.263,29.491,0.144,46.8,12.55,31.44,68.56,0.0,7.33,28.67
105.0,106,BC108,118.63,38.78,104.744,42.288,113.12,15.482,0.28,27.264,0.095,52.1,12.53,27.68,71.6,0.72,7.08,29.0
106.0,107,BC109,118.68,38.78,94.642,32.843,88.443,11.699,0.211,26.979,0.146,37.7,12.42,32.34,67.66,0.0,7.35,28.3
107.0,108,BC110,118.72,38.78,92.248,34.779,84.329,10.682,0.283,27.83,0.118,35.9,12.49,30.49,69.51,0.0,7.28,28.26
108.0,109,BC111,118.79,38.78,120.139,42.374,110.609,14.565,0.272,30.249,0.037,47.7,12.81,31.7,68.3,0.0,7.35,29.9
109.0,110,BC112,118.84,38.78,104.423,39.686,102.503,13.164,0.21,26.989,0.164,47.5,12.9,31.02,68.99,0.0,7.33,30.58
110.0,111,BC113,118.88,38.78,103.176,42.544,111.907,15.748,0.231,28.284,0.105,55.3,12.78,31.3,68.7,0.0,7.33,30.58
111.0,112,BC114,118.93,38.78,90.01,35.964,97.421,12.373,0.236,27.128,0.176,69.2,12.51,29.08,70.83,0.09,7.17,30.27
112.0,113,BC115,118.98,38.78,93.412,37.405,102.573,12.897,0.259,28.089,0.145,45.1,12.51,28.09,71.81,0.1,7.12,29.72
113.0,114,BC116,118.26,38.76,104.154,37.122,104.252,14.421,0.338,30.482,0.052,44.2,12.48,30.35,69.65,0.0,7.26,23.07
114.0,115,BC117,118.31,38.77,118.159,41.818,116.42,19.377,0.34,31.649,0.162,51.2,12.52,32.53,67.47,0.0,7.39,24.01
115.0,116,BC118,118.35,38.76,112.274,41.31,109.156,21.541,0.312,31.568,0.044,48.5,12.74,29.68,70.32,0.0,7.24,25.3
116.0,117,BC119,118.29,38.75,111.274,40.252,111.059,19.401,0.343,31.532,0.036,48.2,12.42,33.36,66.65,0.0,7.42,22.0
117.0,118,BC120,118.33,38.75,109.625,40.962,111.814,16.858,0.347,31.433,0.033,47.1,12.56,29.6,70.4,0.0,7.25,22.9
118.0,119,BC121,118.38,38.75,110.016,38.291,107.554,15.153,0.272,29.964,0.131,45.3,12.53,29.47,70.53,0.0,7.24,23.72
119.0,120,BC122,118.42,38.75,119.708,43.648,118.346,17.656,0.31,31.968,0.05,51.6,12.51,33.65,66.36,0.0,7.44,25.13
120.0,121,BC123,118.47,38.75,114.923,41.532,112.778,14.939,0.394,32.097,0.106,47.5,12.46,29.51,70.49,0.0,7.22,26.04
121.0,122,BC124,118.52,38.75,115.012,41.035,109.118,15.612,0.261,29.348,0.056,48.4,12.48,31.19,68.81,0.0,7.34,25.7
122.0,123,BC125,118.56,38.75,115.187,40.624,105.618,15.945,0.233,29.624,0.183,48.1,12.68,29.11,70.89,0.0,7.24,25.38
123.0,124,BC126,118.63,38.75,104.777,42.712,111.431,17.22,0.231,28.65,0.177,51.9,12.92,28.59,71.42,0.0,7.21,25.8
124.0,125,BC127,118.67,38.75,107.151,43.064,122.847,14.477,0.249,30.624,0.153,58.4,12.78,28.68,71.32,0.0,7.19,25.62
125.0,126,BC128,118.72,38.74,104.446,41.938,114.41,13.923,0.208,28.568,0.069,51.1,12.8,27.8,72.2,0.0,7.15,26.07
126.0,127,BC129,118.79,38.75,97.783,39.381,106.651,13.628,0.254,27.992,0.178,48.9,12.42,27.67,72.33,0.0,7.13,26.08
127.0,128,BC130,118.84,38.75,105.04,49.879,118.854,14.632,0.259,30.608,0.194,61.1,12.81,27.97,72.03,0.0,7.15,26.79
128.0,129,BC131,118.88,38.75,115.447,40.584,112.909,12.069,0.218,30.474,0.018,55.4,12.58,29.54,70.46,0.0,7.22,27.2
129.0,130,BC132,118.93,38.75,100.678,40.149,110.302,13.418,0.248,29.134,0.183,48.9,12.82,28.8,71.2,0.0,7.16,27.5
130.0,131,BC133,118.98,38.75,96.124,37.397,100.274,11.705,0.208,25.917,0.16,46.7,12.5,28.64,71.26,0.11,7.13,27.9
131.0,132,BC134,118.26,38.71,120.374,42.327,117.45,15.183,0.411,34.688,0.07,48.9,12.46,28.56,71.45,0.0,7.17,19.6
132.0,133,BC135,118.31,38.71,110.48,39.515,109.126,16.519,0.339,31.713,0.177,46.6,12.2,27.47,72.53,0.0,7.12,19.79
133.0,134,BC136,118.36,38.71,108.918,38.183,106.007,15.871,0.358,30.238,0.164,45.0,12.29,27.33,72.67,0.0,7.11,20.75
134.0,135,BC137,118.42,38.71,115.629,41.491,108.642,18.088,0.239,30.311,0.101,49.6,12.52,32.58,67.42,0.0,7.4,22.14
135.0,136,BC138,118.47,38.71,115.939,40.014,108.042,14.619,0.236,29.248,0.115,47.1,12.35,27.47,72.54,0.0,7.15,23.37
136.0,137,BC139,118.52,38.71,122.102,44.164,115.312,15.466,0.312,31.983,0.086,51.6,12.5,27.77,72.23,0.0,7.16,23.51
137.0,138,BC140,118.56,38.71,119.532,42.631,115.869,16.579,0.28,31.197,0.068,50.2,12.44,28.44,71.56,0.0,7.17,22.76
138.0,139,BC141,118.63,38.71,108.227,41.917,113.992,16.069,0.221,28.505,0.164,52.5,12.64,28.99,71.01,0.0,7.21,24.61
139.0,140,BC142,118.68,38.71,107.597,42.963,113.284,13.891,0.243,29.041,0.112,52.6,12.77,30.41,69.59,0.0,7.29,24.79
140.0,141,BC143,118.72,38.71,100.691,40.577,109.479,14.34,0.19,27.11,0.105,49.8,12.74,30.27,69.73,0.0,7.28,25.18
141.0,142,BC144,118.79,38.71,114.708,42.346,112.074,14.248,0.307,31.272,0.16,47.4,12.55,28.55,71.45,0.0,7.22,25.2
142.0,143,BC145,118.84,38.71,92.336,37.035,100.417,12.251,0.213,27.042,0.077,44.7,12.6,26.29,73.71,0.0,7.03,25.61
143.0,144,BC146,118.88,38.71,95.765,37.912,104.023,12.769,0.249,27.677,0.192,45.9,12.82,26.94,73.06,0.0,7.08,26.15
144.0,145,BC147,118.93,38.71,104.583,40.138,108.481,13.123,0.262,28.761,0.198,47.2,12.53,30.38,69.62,0.0,7.25,26.46
145.0,146,BC148,118.98,38.71,98.774,40.493,109.105,13.913,0.272,29.665,0.176,53.2,12.73,27.14,72.77,0.09,7.03,26.81
146.0,147,BC149,118.26,38.67,115.454,43.138,116.738,15.769,0.372,33.682,0.096,49.6,12.4,27.22,72.78,0.0,7.1,21.09
147.0,148,BC150,118.31,38.67,104.045,38.24,102.252,16.972,0.372,29.186,0.053,45.2,12.27,27.89,72.11,0.0,7.15,19.91
148.0,149,BC151,118.36,38.67,112.005,41.207,108.919,18.533,0.266,30.82,0.147,65.9,12.3,28.17,71.83,0.0,7.15,20.31
149.0,150,BC152,118.42,38.67,116.909,40.603,110.635,16.928,0.287,29.413,0.124,48.6,11.98,29.99,70.01,0.0,7.29,21.56
150.0,151,BC153,118.47,38.67,116.365,43.215,113.185,18.61,0.347,31.996,0.176,50.5,12.17,32.15,67.85,0.0,7.36,22.01
151.0,152,BC154,118.52,38.68,119.754,44.556,116.443,17.702,0.283,31.761,0.094,52.3,12.43,27.89,72.11,0.0,7.16,22.58
152.0,153,BC155,118.56,38.68,122.245,44.09,116.098,20.927,0.279,31.14,0.095,52.6,12.43,29.28,70.72,0.0,7.24,21.92
153.0,154,BC156,118.63,38.68,98.856,39.167,103.551,15.297,0.25,27.016,0.146,48.6,12.48,27.46,72.54,0.0,7.14,23.56
154.0,155,BC157,118.68,38.68,97.311,38.426,104.249,14.606,0.231,26.775,0.161,47.4,12.39,25.02,74.88,0.09,6.94,23.9
155.0,156,BC158,118.72,38.67,122.957,42.46,116.944,15.644,0.29,31.009,0.144,51.7,12.2,29.76,70.24,0.0,7.27,24.1
156.0,157,BC159,118.79,38.68,95.407,38.415,100.4,11.843,0.223,25.598,0.182,46.3,12.78,28.95,71.05,0.0,7.2,24.78
157.0,158,BC160,118.84,38.67,109.78,44.467,116.835,13.839,0.24,30.028,0.17,55.0,12.92,28.39,71.61,0.0,7.17,25.41
158.0,159,BC161,118.88,38.68,101.932,39.47,105.097,13.487,0.257,27.359,0.135,61.7,12.13,28.35,71.65,0.0,7.14,25.73
159.0,160,BC162,118.93,38.68,102.877,41.339,112.212,13.287,0.291,29.812,0.152,49.2,12.51,25.83,74.07,0.1,6.97,25.91
160.0,161,BC163,118.98,38.67,97.615,39.348,104.008,12.288,0.211,26.701,0.096,47.7,12.77,26.28,73.63,0.09,7.01,26.13
,164,BC164,118.84,38.86,47.334,46.606,79.483,20.664,0.396,14.161,0.081,57.706,11.04,100.0,0.0,0.0,4.58,32.63
,165,BC165,118.99,38.83,115.151,38.687,125.035,4.806,0.402,27.592,0.163,63.726,11.576,100.0,0.0,0.0,7.63,27.32
,166,BC166,118.88,38.67,132.534,37.29,101.321,7.747,0.248,27.034,0.199,47.152,10.246,100.0,0.0,0.0,5.98,29.04
,167,BC167,118.99,38.79,87.331,31.063,107.884,12.302,0.444,25.063,0.194,65.395,11.752,37.03,28.32,34.65,3.34,28.61
,168,BC168,118.94,38.8,41.321,45.9,126.584,4.806,0.394,26.972,0.18,46.978,12.428,54.23,1.16,44.61,7.34,28.91
,169,BC169,118.49,38.81,13.717,23.207,112.495,15.528,0.469,16.537,0.02,20.809,12.446,94.27,1.22,4.51,7.33,27.25
,170,BC170,118.72,38.89,127.617,40.606,86.956,9.237,0.468,14.905,0.193,59.519,11.877,100.0,0.0,0.0,6.97,36.04
,171,BC171,118.26,38.93,11.326,41.5,110.211,9.942,0.455,14.999,0.086,46.193,11.839,94.7,0.13,5.18,3.36,20.09
,172,BC172,118.8,38.98,51.966,28.171,122.153,5.9,0.414,24.471,0.17,46.659,12.154,42.37,25.23,32.4,1.4,20.1
,173,BC173,118.89,38.94,99.535,34.1,92.665,17.534,0.434,21.106,0.158,24.059,11.907,0.01,99.99,0.0,4.02,27.69
,174,BC174,118.29,38.84,60.541,28.967,95.166,13.655,0.199,35.312,0.191,38.449,12.158,100.0,0.0,0.0,6.77,25.95
,175,BC175,118.59,38.78,60.177,16.922,90.318,10.276,0.411,23.439,0.169,39.041,12.431,82.21,1.12,16.67,3.75,21.83
,176,BC176,118.51,38.94,95.892,45.644,115.766,18.173,0.332,14.909,0.106,7.404,11.614,100.0,0.0,0.0,2.06,32.56
,177,BC177,118.59,38.9,130.015,35.956,124.588,8.372,0.501,14.161,0.199,23.397,11.842,90.24,9.76,0.0,3.16,31.17
,178,BC178,118.26,38.87,107.745,36.233,58.608,16.907,0.368,32.318,0.19,19.453,12.14,89.76,4.46,5.77,6.44,31.59
,179,BC179,118.99,38.76,42.653,32.781,37.15,5.237,0.451,26.74,0.153,68.042,10.469,61.64,38.36,0.0,7.51,18.57
,180,BC180,118.74,38.7,98.906,24.824,111.412,12.4,0.328,30.69,0.057,60.231,7.311,98.72,0.1,1.18,3.67,28.19
,181,BC181,118.77,38.81,69.656,30.111,126.584,5.408,0.353,30.569,0.169,42.625,12.244,45.73,36.38,17.89,3.02,16.15
,182,BC182,118.99,38.93,23.114,42.719,105.159,4.806,0.476,20.347,0.199,70.298,11.791,0.0,100.0,0.0,5.46,31.83
,183,BC183,118.99,38.7,45.029,43.045,109.172,7.538,0.375,30.317,0.189,22.611,12.857,0.0,100.0,0.0,3.53,19.07
,184,BC184,118.26,38.74,81.59,12.325,118.867,4.806,0.248,14.161,0.178,30.003,12.063,92.77,4.06,3.17,7.15,31.51
,185,BC185,118.79,38.98,57.171,30.86,85.458,6.377,0.115,22.336,0.176,43.811,11.942,100.0,0.0,0.0,7.28,22.63
,186,BC186,118.27,38.82,98.78,37.781,92.693,14.954,0.325,27.596,0.199,54.85,11.761,26.22,4.84,68.94,2.94,22.36
,187,BC187,118.34,38.88,90.047,43.882,126.584,4.806,0.483,29.249,0.173,44.22,12.343,100.0,0.0,0.0,4.26,27.38
,188,BC188,118.7,38.88,99.937,34.249,126.584,15.298,0.471,29.549,0.199,52.31,12.692,78.6,11.21,10.2,1.9,23.58
